artist,song,e_label,v_label,youtube_link
Britney Spears,Oops!...I Did It Again,2.0,2.0,https://youtube.com/watch?v=CduA0TULnow
blink-182,All The Small Things,2.0,2.0,https://youtube.com/watch?v=9Ht5RZpzPqw
Faith Hill,Breathe,1.0,0.0,https://youtube.com/watch?v=yCmsZUN4r_s
Bon Jovi,It's My Life,2.0,1.0,https://youtube.com/watch?v=vx2u5uUu3DE
*NSYNC,Bye Bye Bye,2.0,2.0,https://youtube.com/watch?v=Eo-KmOd3i7s
Sisqo,Thong Song,2.0,2.0,https://youtube.com/watch?v=Oai1V7kaFBk
Eminem,The Real Slim Shady,1.0,2.0,https://youtube.com/watch?v=eJO5HU_7_1w
Robbie Williams,Rock DJ,2.0,2.0,https://youtube.com/watch?v=bXj9rDwIRDk
Destiny's Child,Say My Name,2.0,2.0,https://youtube.com/watch?v=sQgd6MccwZc
Modjo,Lady - Hear Me Tonight,2.0,2.0,https://youtube.com/watch?v=mMfxI3r_LyA
Gigi D'Agostino,L'Amour Toujours,2.0,2.0,https://youtube.com/watch?v=w15oWDh02K4
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,2.0,2.0,https://youtube.com/watch?v=aUtxrweycYI
Bomfunk MC's,Freestyler,2.0,1.0,https://youtube.com/watch?v=ymNFyxvIdaM
Sting,Desert Rose,1.0,0.0,https://youtube.com/watch?v=C3lWwBslWqg
Melanie C,Never Be The Same Again,2.0,1.0,https://youtube.com/watch?v=2nEzfa43VF8
Aaliyah,Try Again,1.0,2.0,https://youtube.com/watch?v=qTA0RuZoIxM
Anastacia,I'm Outta Love - Radio Edit,2.0,1.0,https://youtube.com/watch?v=TnOy6HEf7HU
Alice Deejay,Better Off Alone,2.0,2.0,https://youtube.com/watch?v=Lgs9QUtWc3M
Gigi D'Agostino,The Riddle,2.0,2.0,https://youtube.com/watch?v=cvvd-9azD1M
Dr. Dre,The Next Episode,2.0,0.0,https://youtube.com/watch?v=QZXc39hT8t4
Linkin Park,In the End,2.0,1.0,https://youtube.com/watch?v=eVTXPUF4Oz4
Tom Jones,Sexbomb,2.0,2.0,https://youtube.com/watch?v=WZ32gSLNHfA
Sonique,It Feels So Good,2.0,1.0,https://youtube.com/watch?v=zns8Y8phigk
M.O.P.,Cold as Ice,2.0,2.0,https://youtube.com/watch?v=9270o2_vQg0
Melanie C,I Turn To You,2.0,0.0,https://youtube.com/watch?v=8E7yYNGIKvk
Limp Bizkit,Take A Look Around,2.0,1.0,https://youtube.com/watch?v=HtPL2YhK6h0
Darude,Sandstorm,2.0,1.0,https://youtube.com/watch?v=y6120QOlsfU
Da Brat,What'chu Like (feat. Tyrese),2.0,2.0,https://youtube.com/watch?v=pKrVAznccZ0
Moloko,The Time Is Now,2.0,1.0,https://youtube.com/watch?v=-GY9DWIfpwc
Chicane,Don't Give Up,2.0,1.0,https://youtube.com/watch?v=drPZiXn9G3k
DMX,Party Up,2.0,1.0,https://youtube.com/watch?v=thIVtEOtlWM
Debelah Morgan,Dance with Me,2.0,2.0,https://youtube.com/watch?v=8-4ifzbMqXM
Madonna,Music,2.0,2.0,https://youtube.com/watch?v=Sdz2oW0NMFk
Ruff Endz,No More,1.0,2.0,https://youtube.com/watch?v=6TLxUAa3lb0
Britney Spears,Born to Make You Happy,2.0,2.0,https://youtube.com/watch?v=Yy5cKX4jBkQ
Montell Jordan,Get It On Tonite,1.0,2.0,https://youtube.com/watch?v=ndNOBkvuGWY
Kylie Minogue,Spinning Around,1.0,1.0,https://youtube.com/watch?v=t1DWBKk5xHQ
JAY-Z,Big Pimpin',2.0,2.0,https://youtube.com/watch?v=Cgoqrgc_0cM
LeAnn Rimes,I Need You,2.0,1.0,https://youtube.com/watch?v=AA_5sLaTErQ
Avant,Separated,1.0,1.0,https://youtube.com/watch?v=Pcq3qhI-NDY
Enrique Iglesias,Be With You,2.0,1.0,https://youtube.com/watch?v=yYedTpODkx8
Toni Braxton,He Wasn't Man Enough,2.0,2.0,https://youtube.com/watch?v=9_hKXk2qSuw
